asset_path,asset_type,creator_or_source,acquired_or_created_date,owner,licence_or_permission,evidence_location,commercial_use_allowed,modification_allowed,distribution_allowed,attribution_required,attribution_text,review_status,reviewer,review_date,notes
mobile/participant-app/assets/favicon.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
mobile/participant-app/assets/icon.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
mobile/participant-app/assets/splash-icon.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
participant_app/android/app/src/main/res/drawable/citizen_centric_mark.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
participant_app/android/app/src/main/res/mipmap-hdpi/ic_launcher.png,png,Generated Android launcher-density variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,Android mipmap density directory establishes a platform-variant family; no ownership evidence for the source mark is in the repository.
participant_app/android/app/src/main/res/mipmap-mdpi/ic_launcher.png,png,Generated Android launcher-density variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,Android mipmap density directory establishes a platform-variant family; no ownership evidence for the source mark is in the repository.
participant_app/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,png,Generated Android launcher-density variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,Android mipmap density directory establishes a platform-variant family; no ownership evidence for the source mark is in the repository.
participant_app/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,png,Generated Android launcher-density variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,Android mipmap density directory establishes a platform-variant family; no ownership evidence for the source mark is in the repository.
participant_app/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,png,Generated Android launcher-density variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,Android mipmap density directory establishes a platform-variant family; no ownership evidence for the source mark is in the repository.
participant_app/assets/citizen-centric-logo.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,SHA-256 equality with: app/static/citizen-centric-logo.png. Repository equality does not establish original ownership or permission.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png,png,Generated iOS AppIcon size variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS AppIcon asset-set naming and Contents.json establish a platform-variant family; no ownership evidence for the 1024px source is in the repository.
participant_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
participant_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png,png,Generated iOS launch-image scale variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS imageset scale suffix establishes a platform-variant family; no ownership evidence for the base launch image is in the repository.
participant_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png,png,Generated iOS launch-image scale variant; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,iOS imageset scale suffix establishes a platform-variant family; no ownership evidence for the base launch image is in the repository.
